id_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,latitude,longitude,type_local,arrondissement,price_per_m2,distance_to_center,neighborhood_cluster,month
2024-1182272,230000.0,34.0,1.0,75019,48.876813,2.404113,Appartement,19,6764.705882352941,4.76226202710533,8,1
2024-1182274,308750.0,49.0,2.0,75019,48.8909,2.378345,Appartement,19,6301.0204081632655,4.696586721759608,8,1
2024-1182276,34500.0,23.0,1.0,75004,48.854596,2.364182,Appartement,4,1500.0,1.0526836310460654,7,1
2024-1182277,860000.0,51.0,2.0,75018,48.894711,2.339883,Appartement,18,16862.745098039217,4.696699346178509,0,1
2024-1182279,616910.0,80.0,3.0,75019,48.878483,2.390483,Appartement,19,7711.375,4.098525654061545,8,1
2024-1182280,50000.0,11.0,1.0,75020,48.874115,2.388087,Appartement,20,4545.454545454545,3.643447869535103,8,1
2024-1182281,386100.0,37.0,2.0,75010,48.873386,2.371843,Appartement,10,10435.135135135137,2.7733604580656994,7,1
2024-1182282,40000.0,25.0,2.0,75020,48.851963,2.400254,Appartement,20,1600.0,3.678704826580828,2,1
2024-1182283,12000.0,110.0,5.0,75004,48.861445,2.351072,Appartement,4,109.0909090909091,0.9423104877155108,7,1
2024-1182284,340000.0,45.0,2.0,75008,48.878442,2.313024,Appartement,8,7555.555555555556,3.9139054300287737,4,1
2024-1182285,1022600.0,83.0,3.0,75009,48.874807,2.347568,Appartement,9,12320.481927710844,2.431344897333493,0,1
2024-1182286,130331.0,11.0,1.0,75003,48.857735,2.3642,Appartement,3,11848.272727272728,1.1646999418958477,7,1
2024-1182287,322000.0,37.0,2.0,75018,48.893342,2.337369,Appartement,18,8702.702702702703,4.5799567445622005,0,1
2024-1182288,241000.0,36.0,2.0,75018,48.890085,2.357977,Appartement,18,6694.444444444444,4.164731478303,0,1
2024-1182289,441800.0,50.0,2.0,75009,48.881663,2.336964,Appartement,9,8836.0,3.32675568539693,0,1
2024-1182290,185000.0,14.0,1.0,75017,48.895356,2.324304,Appartement,17,13214.285714285714,5.070857193709301,4,1
2024-1182291,290000.0,35.0,2.0,75020,48.869949,2.403165,Appartement,20,8285.714285714286,4.321763661360583,8,1
2024-1182293,470000.0,46.0,2.0,75010,48.87229,2.354713,Appartement,10,10217.391304347826,2.17248068166562,0,1
2024-1182294,1115000.0,85.0,4.0,75004,48.857736,2.359666,Appartement,4,13117.64705882353,0.8817240985978247,7,1
2024-1182295,293000.0,28.0,2.0,75018,48.886079,2.345317,Appartement,18,10464.285714285714,3.694130567930956,0,1
2024-1182296,522000.0,40.0,2.0,75009,48.881308,2.344634,Appartement,9,13050.0,3.1720821761983027,0,1
2024-1182297,362400.0,40.0,2.0,75010,48.883439,2.361895,Appartement,10,9060.0,3.494697018282769,0,1
2024-1182298,527000.0,41.0,1.0,75008,48.873531,2.324222,Appartement,8,12853.658536585366,2.961012251534488,4,1
2024-1182299,615000.0,72.0,4.0,75010,48.882064,2.366727,Appartement,10,8541.666666666666,3.455610840941056,0,1
2024-1182301,310000.0,41.0,2.0,75020,48.872381,2.403264,Appartement,20,7560.975609756098,4.452609484247908,8,1
2024-1182302,11000.0,74.0,3.0,75010,48.870502,2.358827,Appartement,10,148.64864864864865,2.050460685847193,7,1
2024-1182303,590000.0,39.0,1.0,75008,48.871669,2.304678,Appartement,8,15128.205128205129,3.911668923202056,9,1
2024-1182304,158600.0,17.0,1.0,75018,48.885824,2.347161,Appartement,18,9329.411764705885,3.655764298810861,0,1
2024-1182307,180000.0,41.0,1.0,75020,48.867512,2.405242,Appartement,20,4390.243902439024,4.351480490436974,8,1
2024-1182308,165000.0,24.0,1.0,75017,48.892654,2.320948,Appartement,17,6875.0,4.894563164660196,4,1
2024-1182309,410000.0,71.0,3.0,75020,48.864374,2.406691,Appartement,20,5774.647887323944,4.335907258642428,2,1
2024-1182310,608000.0,85.0,4.0,75019,48.875228,2.377983,Appartement,19,7152.941176470588,3.209198336223304,8,1
2024-1182312,750700.0,84.0,4.0,75010,48.878091,2.364187,Appartement,10,8936.904761904761,2.9767359104256497,7,1
2024-1182314,1632000.0,162.0,4.0,75009,48.88272,2.335167,Appartement,9,10074.074074074077,3.47825069944684,4,1
2024-1182316,140000.0,11.0,1.0,75009,48.876078,2.345352,Appartement,9,12727.272727272728,2.5885818076152907,0,1
2024-1182317,220000.0,31.0,2.0,75020,48.852719,2.407307,Appartement,20,7096.774193548387,4.193023566582238,2,1
2024-1182318,283000.0,30.0,2.0,75020,48.850911,2.399414,Appartement,20,9433.333333333334,3.622929775072835,2,1
2024-1182319,286000.0,34.0,2.0,75020,48.851663,2.404499,Appartement,20,8411.764705882353,3.990270358423055,2,1
2024-1182320,1247000.0,72.0,3.0,75001,48.8648,2.340682,Appartement,1,17319.444444444445,1.478610382913709,0,1
2024-1182321,370000.0,58.0,3.0,75002,48.868554,2.348899,Appartement,2,6379.310344827586,1.7314002795183188,0,1
2024-1182322,465000.0,44.0,3.0,75019,48.87575,2.38278,Appartement,19,10568.181818181818,3.4855193920630847,8,1
2024-1182324,291500.0,45.0,3.0,75018,48.888167,2.352355,Appartement,18,6477.777777777777,3.914183637864447,0,1
2024-1182325,334000.0,38.0,2.0,75020,48.874136,2.401784,Appartement,20,8789.473684210527,4.457855684204024,8,1
2024-1182326,900000.0,48.0,2.0,75018,48.889188,2.335368,Appartement,18,18750.0,4.163797952702697,4,1
2024-1182327,1557000.0,115.0,3.0,75008,48.8804,2.312113,Appartement,8,13539.130434782608,4.118558874842955,4,1
2024-1182328,453300.0,48.0,3.0,75018,48.888276,2.355332,Appartement,18,9443.75,3.9418507547139954,0,1
2024-1182329,252000.0,34.0,1.0,75019,48.888613,2.376709,Appartement,19,7411.764705882353,4.415605620061489,8,1
2024-1182330,417500.0,41.0,2.0,75020,48.867524,2.395439,Appartement,20,10182.926829268292,3.695639306986577,8,1
2024-1182332,731000.0,43.0,4.0,75018,48.885492,2.346091,Appartement,18,17000.0,3.624240714836807,0,1
2024-1182333,632488.0,42.0,2.0,75003,48.861647,2.364359,Appartement,3,15059.238095238095,1.4240864000887532,7,1
2024-1182334,505700.0,48.0,2.0,75020,48.872381,2.403264,Appartement,20,10535.416666666666,4.452609484247908,8,1
2024-1182335,565000.0,54.0,3.0,75018,48.894574,2.343545,Appartement,18,10462.962962962964,4.646860384123303,0,1
2024-1182336,1448950.0,110.0,3.0,75004,48.852977,2.362155,Appartement,4,13172.272727272728,0.8893305691230305,7,1
2024-1182337,140000.0,17.0,1.0,75008,48.872381,2.308108,Appartement,8,8235.29411764706,3.746359751479975,9,1
2024-1182340,1144700.0,92.0,3.0,75017,48.881576,2.293703,Appartement,17,12442.391304347826,5.201250513284022,9,1
2024-1182341,371000.0,38.0,2.0,75010,48.872201,2.352081,Appartement,10,9763.157894736842,2.140473802431316,0,1
2024-1182342,1230000.0,110.0,5.0,75009,48.882942,2.328116,Appartement,9,11181.818181818182,3.694192000642042,4,1
2024-1182343,74000.0,15.0,1.0,75018,48.89534,2.344802,Appartement,18,4933.333333333333,4.723316263340342,0,1
2024-1182346,324400.0,30.0,2.0,75018,48.886193,2.328691,Appartement,18,10813.333333333334,4.006472606279604,4,1
2024-1182351,203600.0,35.0,2.0,75020,48.872026,2.390089,Appartement,20,5817.142857142857,3.616038342419544,8,1
2024-1182352,272000.0,34.0,2.0,75017,48.8934,2.322822,Appartement,17,8000.0,4.912376628355596,4,1
2024-1182354,509709.0,73.0,3.0,75020,48.863563,2.400869,Appartement,20,6982.315068493151,3.90241732789036,2,1
2024-1182355,180000.0,25.0,1.0,75019,48.887083,2.379117,Appartement,19,7200.0,4.347224053485147,8,1
2024-1182358,197980.0,19.0,1.0,75003,48.867684,2.358455,Appartement,3,10420.0,1.746013329798802,7,1
2024-1182359,1500000.0,108.0,4.0,75009,48.880276,2.346784,Appartement,9,13888.888888888889,3.0420616111676284,0,1
2024-1182361,1206130.0,48.0,3.0,75018,48.884906,2.334212,Appartement,18,25127.70833333333,3.7309880242667175,4,1
2024-1182362,314500.0,26.0,2.0,75018,48.884802,2.333459,Appartement,18,12096.153846153846,3.7374572782769087,4,1
2024-1182364,839470.0,82.0,4.0,75010,48.872912,2.355267,Appartement,10,10237.439024390244,2.247385903841644,0,1
2024-1182366,483000.0,37.0,2.0,75018,48.884733,2.338046,Appartement,18,13054.054054054051,3.635262193884585,0,1
2024-1182367,320000.0,48.0,3.0,75019,48.884503,2.378004,Appartement,19,6666.666666666667,4.057866925154432,8,1
2024-1182369,316000.0,40.0,2.0,75018,48.883933,2.345578,Appartement,18,7900.0,3.454766238839857,0,1
2024-1182371,416000.0,36.0,2.0,75010,48.872065,2.370173,Appartement,10,11555.555555555557,2.582974946644845,7,1
2024-1182372,730000.0,49.0,2.0,75009,48.875517,2.346909,Appartement,9,14897.959183673467,2.513964589913269,0,1
2024-1182373,685000.0,79.0,3.0,75018,48.890974,2.341132,Appartement,18,8670.886075949367,4.272037659586771,0,1
2024-1182374,252000.0,27.0,1.0,75009,48.882692,2.349015,Appartement,9,9333.333333333334,3.3023857598418416,0,1
2024-1182375,169140.0,14.0,1.0,75020,48.868873,2.392296,Appartement,20,12081.42857142857,3.562131006667028,8,1
2024-1182376,563900.0,63.0,3.0,75020,48.870454,2.394878,Appartement,20,8950.79365079365,3.813717842192721,8,1
2024-1182377,148000.0,12.0,0.0,75010,48.873139,2.35831,Appartement,10,12333.333333333334,2.320394559462046,7,1
2024-1182378,465000.0,56.0,3.0,75010,48.876524,2.357215,Appartement,10,8303.57142857143,2.668460447812605,0,1
2024-1182379,267500.0,32.0,1.0,75019,48.879174,2.385514,Appartement,19,8359.375,3.901111616198329,8,1
2024-1182381,3275000.0,115.0,4.0,75008,48.871334,2.314438,Appartement,8,28478.260869565216,3.3050793215429635,4,1
2024-1182382,630000.0,64.0,3.0,75020,48.866907,2.399748,Appartement,20,9843.75,3.954244695392085,8,1
2024-1182383,285500.0,38.0,2.0,75010,48.876418,2.362925,Appartement,10,7513.157894736842,2.77028599773286,7,1
